INPUT:image	OUTPUT:result	OUTPUT:first_answer	GOLDEN:result	GOLDEN:first_answer	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:task_suite_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted	ACCEPT:verdict	ACCEPT:comment
https://i.ibb.co/t3GnHfM/2864907353-64055-emetica-hard-corr.jpg	rosea	"""rosea"""	emetica				https://platform.toloka.ai/task/42725503/00028bf07f--65a93d5d82c710292cedaf31	bba72f13-5934-447d-833c-05297ad7b3f3	00028bf07f--65a93d5d82c710292cedaf31	00028bf07f--65a93c7c6830d04180320044	d2dd5273df173206223a45813b31e751	APPROVED	2024-01-18T15:01:49.058	2024-01-18T15:10:07.197	+	
https://i.ibb.co/4ZLQnz5/2238575020-184894-paludosa-easy.jpg	rosea	"""rosea"""	paludosa				https://platform.toloka.ai/task/42725503/00028bf07f--65a93d5d82c710292cedaf31	bcd32791-4c14-4090-b090-8b1063071e96	00028bf07f--65a93d5d82c710292cedaf31	00028bf07f--65a93c7c6830d04180320044	d2dd5273df173206223a45813b31e751	APPROVED	2024-01-18T15:01:49.058	2024-01-18T15:10:07.197	+	
https://i.ibb.co/VNJgtBg/2274829523-41010-paludosa-hard-corr.jpg	paludosa	"""paludosa"""	paludosa				https://platform.toloka.ai/task/42725503/00028bf07f--65a93d5d82c710292cedaf31	e8da35f4-9f9c-4dcb-b62f-e0d6bfc7cd62	00028bf07f--65a93d5d82c710292cedaf31	00028bf07f--65a93c7c6830d04180320044	d2dd5273df173206223a45813b31e751	APPROVED	2024-01-18T15:01:49.058	2024-01-18T15:10:07.197	+	
https://i.ibb.co/gyQ7SRP/2430663975-196230-emetica-easy.jpg	rosea	"""rosea"""	emetica				https://platform.toloka.ai/task/42725503/00028bf07f--65a93d5d82c710292cedaf31	fcc5a33d-2bd7-4f9b-97fc-1bbb4cc263ce	00028bf07f--65a93d5d82c710292cedaf31	00028bf07f--65a93c7c6830d04180320044	d2dd5273df173206223a45813b31e751	APPROVED	2024-01-18T15:01:49.058	2024-01-18T15:10:07.197	+	
https://i.ibb.co/QF0G5F6/2351007404-116814-paludosa-hard-wrong.jpg	paludosa	"""paludosa"""	paludosa				https://platform.toloka.ai/task/42725503/00028bf07f--65a93d5d82c710292cedaf31	4d0cd9b5-957f-483d-b913-3c4c196c3baa	00028bf07f--65a93d5d82c710292cedaf31	00028bf07f--65a93c7c6830d04180320044	d2dd5273df173206223a45813b31e751	APPROVED	2024-01-18T15:01:49.058	2024-01-18T15:10:07.197	+	
https://i.ibb.co/n88chc6/2332528733-42134-emetica-easy.jpg	rosea	"""rosea"""	emetica				https://platform.toloka.ai/task/42725503/00028bf07f--65a93d5d82c710292cedaf31	e7136573-2acb-4fe7-8bcd-391fc260d359	00028bf07f--65a93d5d82c710292cedaf31	00028bf07f--65a93c7c6830d04180320044	d2dd5273df173206223a45813b31e751	APPROVED	2024-01-18T15:01:49.058	2024-01-18T15:10:07.197	+	
https://i.ibb.co/hyZfvX3/2238447704-91235-emetica-hard-wrong.jpg	paludosa	"""paludosa"""	emetica				https://platform.toloka.ai/task/42725503/00028bf07f--65a93d5d82c710292cedaf31	88e8de67-6a4d-49cd-b1b8-8d5260b8c4e7	00028bf07f--65a93d5d82c710292cedaf31	00028bf07f--65a93c7c6830d04180320044	d2dd5273df173206223a45813b31e751	APPROVED	2024-01-18T15:01:49.058	2024-01-18T15:10:07.197	+	
https://i.ibb.co/tKfxBPR/2238525451-249039-emetica-hard-corr.jpg	rosea	"""rosea"""	emetica				https://platform.toloka.ai/task/42725503/00028bf07f--65a93d5d82c710292cedaf31	4ef30bdc-1213-4bc0-ae19-8c42d46a6393	00028bf07f--65a93d5d82c710292cedaf31	00028bf07f--65a93c7c6830d04180320044	d2dd5273df173206223a45813b31e751	APPROVED	2024-01-18T15:01:49.058	2024-01-18T15:10:07.197	+	
https://i.ibb.co/9pYYFtS/2332527831-264520-rosea-easy.jpg	rosea	"""rosea"""	rosea				https://platform.toloka.ai/task/42725503/00028bf07f--65a93d5d82c710292cedaf31	31b7e46d-31d4-4e96-bff2-60c755733a62	00028bf07f--65a93d5d82c710292cedaf31	00028bf07f--65a93c7c6830d04180320044	d2dd5273df173206223a45813b31e751	APPROVED	2024-01-18T15:01:49.058	2024-01-18T15:10:07.197	+	
https://i.ibb.co/d76fyd3/2294394889-115688-paludosa-easy.jpg	rosea	"""rosea"""	paludosa				https://platform.toloka.ai/task/42725503/00028bf07f--65a93d5d82c710292cedaf31	5d73f541-82c8-4c51-ada3-1484aea441d8	00028bf07f--65a93d5d82c710292cedaf31	00028bf07f--65a93c7c6830d04180320044	d2dd5273df173206223a45813b31e751	APPROVED	2024-01-18T15:01:49.058	2024-01-18T15:10:07.197	+	
